source	translation	literal_translation
DHP129	All tremble at the stick, all fear death. Having made oneself the example, one should neither kill nor cause to kill.	All tremble at the stick, all fear death; having made oneself the example, one should not kill, one should not cause to kill.
DHP130	All tremble at the rod, life is dear to all; having made oneself the example, one should neither kill nor cause to kill.	All tremble of the stick, to all life is dear, having made self the example, one should not strike, one should not cause to slaughter.
DHP131	Whoever harms with a stick living beings who desire happiness, while seeking his own happiness, does not obtain happiness after death.	Living beings desiring happiness, whoever with a stick harms, for himself happiness seeking, having gone forward (after death) he not gets happiness.
DHP132	One who does not harm with a stick living beings who desire happiness, while seeking happiness for oneself, after death that one obtains happiness.	Living beings [who are] desiring happiness, who with a stick does not harm, seeking happiness of oneself, having gone forth (after death) he obtains happiness.
DHP133	Do not speak harshly to anyone; those spoken to might retort to you. For quarrelsome speech is painful, and retaliations might strike you.	Do not say anything harsh to anyone; those spoken to might retort to you; for quarrelsome speech is painful; retaliations might touch you.
DHP134	If you do not stir yourself up, like a broken bronze gong, then you have reached Nibbana; no agitation is found in you.	If you do not agitate yourself, as a broken bronze gong, this [one] you are reached Nibbana; agitation for you is not found.
DHP135	Just as a cowherd drives cows to pasture with a stick, so old age and death drive the life of living beings.	Just as with a stick a cowherd drives cows to pasture, so old age and death drive the life of living beings.
DHP136	But when the fool performs evil deeds, he does not realize it; through his own deeds the unwise person is tormented, just like one burned by fire.	But doing evil deeds the fool does not understand; by his own deeds the unwise one is tormented even as [one] burned by fire.
DHP137	Whoever wrongs the unarmed and innocent with a stick, they very quickly undergo one of ten states.	Whoever with a stick against those without sticks, against the non-corrupt, wrongs, one of ten thing[s] very quickly he undergoes.
DHP138	He might experience severe pain, loss of wealth, bodily injury, a serious illness, or mental derangement.	Severe pain, loss, and breaking of the body, or even a serious affliction, and mental derangement he would experience.
DHP139	Or trouble from the king, and a harsh false accusation, and the loss of relatives, and the destruction of wealth.	Or trouble from a king, and a brutal slandering, and a depletion of relatives, and a breaking of possessions.
DHP140	Then, or fire—the bright one—burns his houses; upon the breakup of the body, the fool is reborn in hell.	Then or his houses fire burns, the bright one; at the breakup of the body, the witless one is reborn in hell.
DHP141	Neither nudity nor matted hair nor smearing with mud, nor fasting nor sleeping on the bare ground, nor dust and dirt nor the practice of squatting, can purify a mortal who has not overcome doubt.	Neither naked-conduct nor dreadlocks nor mud, nor fasting nor sleeping on the ground or dust-dirt and squatting-exertion, purify a mortal who has not overcome doubt.
DHP142	Even if dressed up, if one should live in a balanced manner—tranquil, tamed, restrained, a spiritual practitioner—having laid aside violence towards all beings, he is a holy man, he is an ascetic, he is a monk.	Even if decorated, if he should live equally, peaceful, tamed, restrained, a spiritual practitioner, having put down the stick towards all beings, that one (is) a Brahman, that one (is) an ascetic, that (one is) a monk.
DHP143	Is there any man in the world, restrained by conscience, who avoids reproach, just as a noble horse avoids the whip?	A man restrained by conscience, any in the world is found, who avoids reproach, like a noble horse a whip.
DHP144	Like a noble horse touched by the whip, be ardent and urgent. By faith, virtue, effort, stillness, and investigation of reality, being accomplished in wisdom and conduct and mindful, you will abandon this great suffering.	A horse like a noble one touched by the whip, ardent and urgent be you all; by faith, by virtue and by effort and, by stillness, by investigation of reality and, accomplished in wisdom and conduct, mindful, you will give up this great suffering.
DHP145	Indeed, irrigators lead the water; fletchers straighten the arrow; carpenters shape the wood; the virtuous tame themselves.	Certainly irrigators lead the water, fletchers bend the arrow-shaft, carpenters bend the wood, the virtuous ones tame the self.
DHP146	How can there be laughter, how can there be joy, when the world is constantly burning? Shrouded in darkness, why do you not seek a light?	What is the laughter, what is the joy, while it is constantly burning? Enveloped by darkness, you do not seek a lamp.
DHP147	Look at this adorned image, a mass of sores propped up, sickly, full of many plans, which has no permanent stability.	See the mind-made image, a collection of wounds raised up, sick, having many intentions, of which there is no stable standing.
DHP148	This body is worn out, a fragile nest of disease; this putrid mass breaks up, for life ends in death.	This form is worn out, a nest of disease, fragile; the rotting body breaks up, for life has death as its end.
DHP149	These bones, thrown away like bottle gourds in autumn, are dove-gray; having seen them, what delight is there?	Whichever these [are] thrown away, like bottle gourds in autumn, dove-gray bones; those having seen, what delight [is there]?
DHP150	A city is built of bones, plastered with flesh and blood; within it dwell old age and death, pride and denigration.	A city made of bones, with a plastering of flesh and blood, where old age and death, conceit and denigration are deposited.
DHP151	Indeed, even the beautifully adorned royal chariots wear out, and the body too reaches old age; but the Dhamma of the virtuous does not grow old—thus do the virtuous truly proclaim to the virtuous.	Truly royal chariots well-adorned wear out, and also the body reaches old age, and the teaching of the virtuous not reaches old age, the virtuous truly to the virtuous proclaim.
DHP152	This man of little learning grows old like an ox; his flesh increases, but his wisdom does not.	This unlearned man ages like an ox; the flesh of him grows, the wisdom of him not grows.
DHP153	I have wandered through the cycle of many births, searching for the house-builder but not finding him; painful is birth again and again.	Through the wandering of many births I wandered, not finding [him], the house-builder seeking; painful is birth again and again.
DHP154	O house-builder, you are seen! You will not build a house again. All your rafters are broken, the ridge-pole is deconstructed. The mind has gone to the unconditioned; it has reached the destruction of cravings.	O house-builder, you are seen; again a house you will not make; all your rafters are broken, the ridge-pole is deconstructed; the mind is gone to the unconstructed; it reached the exhaustion of cravings.
DHP155	They who have not led the holy life, and have not gained wealth in their youth, pine away like old herons in a pond without fish.	Having not led the holy life, having not gained wealth in youth, they brood like old herons in a pond depleted of fish.
DHP156	Neither having lived the spiritual life nor having gained wealth in their youth, they lie like spent arrows shot from a bow, sighing over the past.	Having not lived the spiritual life, having not obtained wealth in youth, they lie like arrows shot from a bow, lamenting past things.
DHP157	If one holds oneself dear, one should protect oneself well. During any one of the three stages of life, a wise man should keep watch.	If one should know oneself as dear, one should protect him well-guarded; during one of the three stages of life, the wise man should keep watch.
DHP158	First, one should establish oneself in what is proper, and then one should instruct others; thus the wise man would not be stained.	First one should establish oneself in what is proper; then one should instruct others; the wise man would not be stained.
DHP159	If one would act towards oneself just as one instructs another, then, being well-tamed, one could tame others; for the self is indeed difficult to tame.	Oneself if so should-do, just as another [one] instructs, well-tamed indeed [one] would-tame; self for truly difficult-to-tame.
DHP160	One is indeed one's own protector; for who else could the protector be? With a self well-controlled, one obtains a protector that is difficult to find.	Self indeed is the protector of self; who indeed could be another protector? By the self indeed well-controlled, one obtains a protector difficult to find.
DHP161	Truly, the evil done by oneself, born of oneself, and produced by oneself, crushes the unwise one, just as a diamond crushes a stone-made jewel.	By oneself indeed [the] done evil, self-born, self-produced, crushes [the] unwise [one], [as] a diamond a stone-made jewel.
DHP162	One whose extreme immorality is spread over him like a maluva creeper over a sal tree, he does to himself exactly what his enemy would wish for him.	For whom extreme bad behavior, like a maluva creeper spread over a sal tree, he makes himself so, just as an enemy wishes for him.
DHP163	Bad deeds and things harmful to oneself are easily done; what is beneficial and good is truly hardest to do.	Bad things and unbeneficial things of oneself (are) easy to do; whatever indeed (is) beneficial and good, that indeed (is) extremely difficult to do.
DHP164	Whatever foolish person, relying on an evil view, disdains the teaching of the Arahants—the Noble Ones who live righteously—he bears fruit only for his own destruction, just as the bamboo bears fruit to its own end.	Whoever foolish person, having depended on an evil view, rejects the teaching of the Arahants, the Noble Ones living the Dhamma, he bears fruit for self-destruction, like the fruit of the bamboo.
DHP165	For by oneself is evil done, by oneself is one defiled; by oneself is evil left undone, by oneself alone is one purified. Purity and impurity depend on oneself; no one can purify another.	Indeed by oneself evil is done, by oneself one is defiled, by oneself evil is not done, by oneself only one is purified, purity and impurity are individual; another person cannot purify another person.
DHP166	One should not neglect one's own welfare for the sake of another's, however great. Having understood one's own welfare, one should be intent on one's own goal.	One's own welfare [for the sake of] another's welfare, even by much one should not neglect. Having directly known one's own welfare, one should be intent on one's own benefit.
DHP167	One should not follow low teachings; one should not live with negligence. One should not follow wrong views, and one should not be a prolonger of the world.	A low teaching one should not follow, with negligence one should not live, a wrong view one should not follow, not should one be a world-increaser.
DHP168	One should get up and not be negligent. One should practice the Dhamma well. One who practices the Dhamma sleeps happily, in this world and in the next.	One should stand up, one should not be negligent; one should practice the teaching well-practiced; a Dhamma-practitioner sleeps happily, in this world and in the next.
DHP169	One should practice the Dhamma well; one should not practice it badly. He who lives by the Dhamma lives happily in this world and the next.	One should practice the Dhamma well-conducted, one should not practice it ill-conducted; he who lives the Dhamma lives happily in this world and in the next.
DHP170	As one would see a bubble, as one would see a mirage; so the King of Death does not see one who views the world in this way.	Just as one would see a little bubble, as one would see a mirage; so the King of Death does not see one who is viewing the world in this manner.
DHP171	Come, look at this world, adorned like a royal carriage; here fools sink down, but for those who understand, there is no attachment.	Come, look at this world, beautiful like a king's chariot, where fools sink; there is no attachment of the understanding ones.
DHP172	Whoever was formerly negligent but later is not negligent, illuminates this world like the moon freed from a cloud.	Whoever and previously having been negligent, afterwards he not is negligent, he this world illuminates, from cloud released like moon.
DHP173	Whose evil deed is superseded by a wholesome one, he illuminates this world like the moon freed from a cloud.	Whose evil action done is covered by a wholesome [deed], he illuminates this world, like the moon released from a cloud.
DHP174	This world is blind; only a few here see clearly. Like a bird escaped from a net, few go to heaven.	This world is become-blind, a few here see-distinctly; like a bird freed-from-a-net, a few go to heaven.
DHP175	Swans fly on the path of the sun; they fly through the sky by psychic power. The wise depart from the world, having conquered Mara and his army.	Swans go on the sun's path; they go in the sky by psychic power; the wise are led out from the world, having conquered Mara together with [his] army.
DHP176	For a person who has transgressed even one rule, who speaks lies, and who has rejected the next world, there is no evil that cannot be done.	For a person having overstepped one teaching, speaking falsely, having rejected the other world, there is not an evil not to be done.
DHP177	Miserly people indeed do not go to the world of the gods; fools indeed do not praise giving. But a wise person, appreciating giving, because of that alone becomes happy hereafter.	Indeed the miserly do not go to the world of gods; fools truly do not praise generosity; and the wise person, rejoicing in the gift, because of that very thing he becomes happy in the next world.
DHP178	Better than sole sovereignty over the earth, or going to heaven, or lordship over the entire world, is the fruit of stream-entry.	Than sole sovereignty of the earth, or than going to heaven, than supreme power over the whole world, the fruit of entering the stream is better.
DHP179	Whose victory is not turned back into defeat, whose victory no one in the world follows—that Buddha of infinite range, the trackless, by what path will you lead him?	Whose victory is not defeated, whose victory no one in the world follows into, that Awakened One of infinite domain, the trackless, by what path will you lead (him)?
DHP180	In whom there is no craving—the net-like and entangling one—to lead him anywhere, by what track would you lead that Buddha of infinite range, the trackless one?	Of whom the net-like, entangling craving is not anywhere to lead (him) away, that Buddha of infinite range, the trackless one, by what track will you lead him?
DHP181	Those wise ones intent on meditation, finding delight in the peace of renunciation, even the gods envy them—the Awakened Ones, the mindful.	Who (are) intent on meditation, wise (ones), delighted in the peace of renunciation, even gods for them envy, for (those) awakened (ones), for (those) having mindfulness.
DHP182	Hard is the birth as a human; hard is the life of mortals; hard is the hearing of the True Teaching; hard is the arising of Buddhas.	Difficult is the gaining of a human state; difficult is the life of mortals; difficult is the hearing of the true teaching; difficult is the arising of Buddhas.
DHP183	Not to do any evil, to attain the wholesome, and to purify one's own mind: this is the teaching of the Buddhas.	The non-doing of all evil, the undertaking of the wholesome, the purification of one's own mind; this is the instruction of the Buddhas.
DHP184	Patience is the highest austerity, forbearance; the Buddhas say Nibbāna is supreme. Indeed, one who harms others is not a renunciant, and one who oppresses another is not an ascetic.	Patience is the highest austerity, endurance; the Buddhas say Nibbāna is highest; for one who harms others is not a renunciant, one who harms another is not an ascetic.
DHP185	Not insulting, not harming, restraint according to the monastic code, moderation in food, dwelling in a secluded place, and devotion to higher meditation—this is the teaching of the Buddhas.	Not blaming, not harming, and restraint in the Patimokkha, and moderation in food, and a secluded dwelling, and devotion in higher mind; this is the teaching of the Buddhas.
DHP186	Satisfaction is not found in sensual pleasures even by a shower of gold coins. Having understood that sensual pleasures give little enjoyment and are painful, the wise man...	Not by a shower of silver coins satisfaction in sensual pleasures is found; providing little enjoyment and painful are sensual pleasures; thus having understood, the wise man.
DHP187	Even in heavenly pleasures he finds no delight. The disciple of the perfectly awakened Buddha takes delight only in the destruction of craving.	Even in heavenly sensual pleasures delight he does not find; the disciple of the perfectly awakened Buddha is delighted in the destruction of craving.
DHP188	Many people, indeed, driven by fear, go for refuge to mountains, forests, parks, trees, and shrines.	Many, indeed, refuge go to, mountains, forests and, parks-trees-shrines, men fear-threatened.
DHP189	Indeed, this is not a secure refuge, this is not the supreme refuge; not by coming to this refuge is one released from all suffering.	This indeed (is) not a secure refuge, this (is) not the supreme refuge, having come to this refuge, (one) is not released from all suffering.
DHP190	But whoever has gone for refuge to the Buddha, the Teaching, and the Community, sees with correct wisdom the Four Noble Truths.	Whoever and to the Buddha and to the Teaching and to the Community refuge gone, four noble truths with correct wisdom sees.
DHP191	Suffering, the origin of suffering, the transcending of suffering, and the noble eightfold path leading to the cessation of suffering.	Suffering, the arising of suffering, and the transcending of suffering, [and] the noble eightfold path leading to the calming of suffering.
DHP192	This indeed is the safe refuge, this is the supreme refuge; having gone to this refuge, one is freed from all suffering.	This indeed [is] refuge safe, this [is] refuge supreme, this refuge having-come-to, from-all-suffering [one] is-freed.
DHP193	Rare is a man of noble birth; he is not born everywhere. Wherever such a wise man is born, that family prospers in happiness.	Difficult to find is a thoroughbred man, he not everywhere is born, where he is born, the wise one, that family thrives comfortably.
DHP194	Happy is the arising of Buddhas, happy is the teaching of the true teaching, happy is the concord of the Sangha, happy is the spiritual practice of those in concord.	Pleasant is the arising of Buddhas, pleasant is the true Dhamma teaching, pleasant is the harmony of the Sangha, pleasant is the practice of those in concord.
DHP195	Of one honoring those worthy of honor—whether the Buddhas or their disciples—who have transcended mental proliferation and crossed beyond sorrow and lamentation.	Of (one) honoring those worthy of honor, (namely) the Buddhas or indeed the disciples, who have transcended proliferation, who have crossed over sorrow and lamentation.
DHP196	When someone reveres such as these—those who are emancipated and have no reason to be afraid—no one is able to calculate their merit as being even this much.	Of one revering such ones, (who are) quenched (and) with nothing to fear from anywhere, merit is not possible to be calculated as even just this much by anyone.
DHP197	Extremely happily indeed we live, free from animosity among those who are hostile; among hostile humans, we dwell free from animosity.	Extremely happily indeed we live, free from animosity among the hostile; among hostile humans, we dwell free from animosity.
DHP198	We live very happily indeed, healthy among the diseased; among diseased people, we dwell healthy.	Extremely happily indeed we live, among the diseased being healthy, among diseased humans we dwell being healthy.
DHP199	Extremely happily indeed we live, relaxed among the agitated; among agitated people, we dwell relaxed.	Extremely happily indeed we live, unanxious among the anxious, among anxious people, we dwell unanxious.
DHP200	Extremely happily indeed we live, we who have nothing at all; we shall be feeders on delight, like the radiant gods.	Very happily indeed we live, of whom for us there is not anything; feeders on delight we shall be, like the radiant gods.
DHP201	Victory breeds hatred, the defeated live in pain. The peaceful live happily, having abandoned both victory and defeat.	Victory generates hatred, the defeated one lies down in pain; the peaceful one lies down happily, having abandoned victory-and-defeat.
DHP202	There is no fire like passion, no crime like hatred, no suffering like the aggregates, and no bliss higher than peace.	There is no fire equal to lust; there is no fault equal to hatred; there is no suffering equal to the aggregates; there is no happiness higher than peace.
DHP203	Hunger is the worst of illnesses, conditioned things are the worst of suffering. Having known this as it truly is, one realizes Nibbana, the highest bliss.	Hunger is the supreme disease, formations are the supreme pain; having known this as it has become, Nibbana is the ultimate happiness.
DHP204	Health is the highest gain, contentment the highest wealth, trust the highest relative, Nibbāna the highest bliss.	Health-highest are gains, contentment-highest is wealth, trust-highest are kinsmen, Nibbāna is the highest happiness.
DHP205	Having tasted the flavor of solitude and the flavor of peace, one becomes free from anguish and free from sin while drinking the flavor of joy in the Dhamma.	Having drunk the flavor of solitude and the flavor of peace, he is free from anguish, free from sin, drinking the flavor of joy in the Dhamma.
DHP206	Seeing the noble ones is good; living with them is always happy. Through not seeing fools, one would always be happy.	Excellent is the seeing of the noble ones; association is always happy; by the not seeing of fools, one would certainly be always happy.
DHP207	For one who keeps company with fools sorrows for a long time; living with fools is painful, as is being with an enemy always. But a wise person is pleasant to live with, like meeting with relatives.	For one going around associated with fools sorrows a long time; association with fools is painful, like with an enemy always; and the wise man is pleasant to live together with, like a gathering of relatives.
DHP208	Therefore, one should follow such a person—the wise, the intelligent, the learned, the patient, the devout, and the noble—a good man of great wisdom, just as the moon follows the path of the stars.	Therefore indeed, the wise and the intelligent and the learned, the patient-natured, the devout and noble, that such good man of good wisdom, one should associate with, like the moon the path of the stars.
DHP209	Engaging oneself in what is unsuitable and not engaging in meditation; having abandoned the goal and grasping after what is dear, one envies those who apply themselves to meditation.	In the unsuitable engaging oneself, and in meditation not engaging, the goal having abandoned, grasping after the dear, one envies the one devoted to meditation.
DHP210	Do not associate with dear ones, nor ever with those not dear; for it is painful not to see dear ones, and it is painful to see those not dear.	Do not associate with dear ones, [nor] with those not dear ever; the not-seeing of dear ones is painful, and the seeing of those not dear [is painful].
DHP211	Therefore, do not hold anything dear, for separation from the beloved is painful. No bonds exist for those who have neither dear nor undear.	Therefore, one should not make (anything) dear, for separation from the dear is evil; bonds for them do not exist, for whom there is no dear and undear.
DHP212	From love arises grief, from love arises fear; for one who is freed from love, there is no grief, how much less fear?	From love arises grief, from love arises fear; for one who is completely released from love, there is no grief, from where [is there] fear?
DHP213	From love arises grief, from love arises fear; for one who is completely freed from love, there is no grief, much less fear.	From love is born grief, from love is born fear; of one who is freed from love, grief exists not, whence [could there be] fear?
DHP214	From delight arises grief, from delight arises fear; for one who is freed from delight, there is no grief, let alone fear.	From delight arises grief; from delight arises fear. Of one freed from delight, there is not grief; from where (would there be) fear?
DHP215	From sensual desire arises sorrow, from sensual desire arises fear; for one who is released from sensual desire, there is no sorrow, much less fear.	From sensual desire arises sorrow, from sensual desire arises fear; for one released from sensual desire, sorrow exists not, whence fear?
DHP216	From craving arises grief, from craving arises fear. For one who is freed from craving, there is no grief, how much less fear?	From craving arises grief, from craving arises fear; of one freed from craving, there is no grief, from where [is there] fear?
DHP217	One who is endowed with virtue and insight, established in the Dhamma, a knower of truth, and who fulfills his own duties—him the people hold dear.	Endowed with virtue and insight, established in the Dhamma, knowing truth, doing his own work; that one the people make dear.
DHP218	One who has developed a wish for the Indescribable, whose mind is permeated with it, and whose heart is not bound to sensual pleasures, is called 'one who flows upstream'.	One whose interest has arisen in the Indescribable, and who would be permeated with the mind, and whose mind is not bound in sensual pleasures, is called 'one who flows upstream'.
DHP219	When a man who has lived abroad for a long time returns home safely from afar, his relatives, friends, and well-wishers rejoice at his arrival.	A man who has lived abroad for a long time, come safely from afar, relatives, friends and well-wishers rejoice at him who has come.
DHP220	In the same way, when one who has done merit has gone from this world to the next, their merits receive them, just as relatives welcome a dear one who has returned.	Likewise, even the merit-maker, having gone from this world to the next, merits receive [him], like relatives [welcome] a dear one come [back].
DHP221	One should give up anger, one should abandon pride, and one should transcend every fetter. Sufferings do not befall that one who does not cling to name and form and possesses nothing.	Anger one should give up, pride one should abandon, every fetter one should transcend; sufferings do not follow that one not clinging to name and form, having nothing.
DHP222	Whoever restrains flare-up anger like a swerving chariot, that one I call a charioteer; other people are just holding the reins.	Whoever indeed should check arisen anger like a swerving chariot, him I call a charioteer; other person is a rein-holder.
DHP223	Conquer anger with non-anger, with goodness conquer the bad, conquer the miser with a gift, and with truth the speaker of lies.	By non-anger one should conquer anger, by goodness one should conquer the bad, one should conquer the miser by a gift, by truth the speaker of lies.
DHP224	Speak the truth, do not get angry, and give when asked even if it is only a little; by these three ways, one may go to the presence of the gods.	One should speak the truth, one should not be angry, one should give a little even when asked; by these three ways, one would go into the presence of the gods.
DHP225	Those sages who are harmless, always restrained in body, go to the everlasting state, where, having gone, they sorrow no more.	The harmless sages who, always by the body restrained, they go to the everlasting place, where having gone they do not sorrow.
DHP226	For those who are always watchful, training themselves day and night, and are intent on Nibbāna, their defilements come to an end.	For those always being awake, training day and night, intent on Nibbāna, the defilements go to an end.
DHP227	This is an ancient thing, Atula, it is not just of today: they blame the one who sits in silence, they blame the one who speaks much, they also blame the one who speaks moderately; there is no one in the world who is not blamed.	This is ancient, Atula, this is not as if it were of today; they blame him sitting silently, they blame him speaking much, they blame even him speaking moderately; there is no one in the world unblamed.
DHP228	There has never been, there will never be, and there is not now, a person who is solely blamed or solely praised.	Not and there was not, and not will be, not and now exists, exclusively blamed man, exclusively or praised.
DHP229	If wise people, having investigated, praise him day after day—one of flawless conduct, intelligent, endowed with wisdom and virtue.	If which (one) wise (people) praise, having investigated, tomorrow tomorrow, (one of) flawless behavior, (one) intelligent, (one) wisdom-virtue-endowed.
DHP230	Like a golden ornament of fine Jambonada gold, who is worthy to criticize him? Even the gods praise him; by Brahma too he is praised.	Like a golden ornament of fine gold, who is worthy to blame that one? Even the gods praise him; by Brahma too he is praised.
DHP231	One should guard against physical agitation and be restrained in body; abandoning physical misconduct, one should lead a life of good physical conduct.	One should guard against physical agitation, one should be restrained by the body; having abandoned physical misconduct, one should practice good conduct with the body.
DHP232	One should guard against verbal agitation and be restrained in speech. Abandoning verbal misconduct, one should practice good conduct in speech.	One should guard against verbal agitation; one should be restrained by speech; having abandoned verbal misconduct, one should practice good conduct by speech.
DHP233	One should guard against mental agitation and be restrained in mind. Having abandoned mental misconduct, one should practice good conduct with the mind.	One should guard against mental disturbance, might be restrained by the mind, having abandoned mental misconduct, one should practice good conduct with the mind.
DHP234	The wise are restrained in body, and also restrained in speech; the wise are restrained in mind—they are indeed truly well-restrained.	The sages are restrained by body, also restrained by speech, the sages are restrained by mind; they indeed are well-restrained.
DHP235	You are now like a withered leaf; even the minions of Death have arrived for you. You stand on the threshold of your departure, yet you have no provisions for the journey.	You are now like a yellow leaf; and Death's men are present for you; and you stand at the mouth of departure; and even provision for the journey is not found for you.
DHP236	Make a refuge for yourself, strive quickly, and be wise. With impurities removed and unblemished, you will reach the divine realm of the Noble Ones.	You make a refuge for yourself, quickly strive, be wise; with stains removed, spotless, to the divine noble-realm you will reach.
DHP237	And now you are at the end of life, you have set out for the presence of Yama. There is no dwelling for you along the way, nor are provisions for you to be found.	And (at) the end of life now you are, you have gone to (the) presence of Yama, (a) dwelling for you is not along (the) way, and provisions even for you (are) not found.
DHP238	So, make an island for yourself; strive quickly and be wise. With stains removed and unblemished, you will not come again to birth and old age.	That (you) make an island for yourself; quickly strive, wise be; with removed stains, unblemished, not again birth and old age you will approach.
DHP239	By degrees, little by little, from moment to moment, a wise man should remove his own impurities, just as a smith removes the dross of silver.	Gradually, the wise man, a little bit a little bit, in moment in moment, (like) a smith indeed of silver, should blow away the impurity of himself.
DHP240	Just as rust arising from iron, having arisen from it, devours that very iron; so do one's own deeds lead the transgressor to a bad destination.	As if from iron rust arisen, from that arisen, that very [iron] it eats; so do one's own deeds lead the person of transgressive conduct to a state of misery.
DHP241	Non-recitation is the stain of scriptures, inaction is the stain of houses, laziness is the stain of beauty, and heedlessness is the stain of one who guards.	Scriptures have non-recitation as their stain; houses have lack of initiative as their stain; laziness is the stain of beauty; heedlessness is the stain of one who protects.
DHP242	Misconduct is the stain of a woman, and stinginess is the stain of a giver. Evil states are indeed stains, both in this world and the next.	Misconduct is the stain of a woman, stinginess is the stain of one who gives; evil states indeed are stains, in this world and in the next.
DHP243	Than those impurities, there is a greater impurity: ignorance is the ultimate impurity. Having abandoned that impurity, be stainless, O monks.	From those impurities, a greater impurity; ignorance is the highest impurity; that impurity having abandoned, stainless be, monks.
DHP244	Life is easy for a shameless person, one who is brazen as a crow, corrupt, audacious, arrogant, and defiled.	Life is easy to live by one who is shameless, brazen as a crow, corrupt, audacious, arrogant, and defiled.
DHP245	But life is hard for one with a sense of shame, who always seeks purity, who is active and modest, who lives a pure life and sees clearly.	And by one having a conscience life is hard to live, by one always seeking purity, by one active and not impudent, by one with a pure livelihood, by one seeing.
DHP246	Whoever kills living beings, and tells lies, takes in this world what is not given, and commits adultery.	Whoever kills a living being, and speaks false speech, takes in the world what is not given, and goes to another's wife.
DHP247	And the man who indulges in drinking distilled and fermented liquor, right here in this world, he digs up his own root.	And whoever man indulges in the drinking of distilled and fermented liquor, here itself indeed this one in the world digs the root of himself.
DHP248	Know this, O man: evil deeds are unrestrained. Let not greed and injustice subject you to long-lasting suffering.	Thus, O sir, O man, know: evil-deeds (are) unrestrained; let not you greed and injustice for long for-suffering harm.
DHP249	Indeed, people give according to their faith and according to their inspiration. In that regard, whoever becomes upset over the food and drink given to others, he does not attain concentration by day or by night.	People give indeed according to faith, according to pleasure; in that regard whoever becomes troubled in the food and drink of others, he not by day or by night attains meditative composure.
DHP250	But for whom this is cut off, destroyed at the root, and eradicated—he indeed, whether by day or by night, attains meditative composure.	For whom if-this [is] cut-off, root-destroyed, uprooted; he truly by-day or by-night meditative-stoppage attains.
DHP251	There is no fire like passion, there is no seizer like hatred, there is no snare like delusion, there is no river like craving.	There is no fire equal to lust, there is no grip equal to aversion, there is no net equal to delusion, there is no river equal to craving.
DHP252	Easy to see is the fault of others, but one’s own is hard to see. For he winnows the faults of others like chaff, but his own he conceals, like a crafty gambler hides a losing throw.	Easy to see [is] the fault of others, but one’s own [is] hard to see; for he winnows the faults of others like chaff, but his own [faults] he conceals, like a crafty gambler [hides] a losing die.
DHP253	For one who observes the defects of others and is always critical, their effluents increase; they are far from the destruction of the effluents.	Of one seeing another's faults, of one always perceiving fault, the effluents of him increase; he is far from the destruction of the effluents.
DHP254	Just as there is no track in the sky, so there is no true ascetic outside the Buddha's teaching. Mankind delights in conceptual proliferation, but the Tathagatas are free from it.	In the sky like a track is not; an ascetic is not outside. Mankind is delighted in proliferation; the Tathagatas are free from proliferation.
DHP255	There is no track in the sky, and no true ascetic outside the Buddhist path. No conditioned things are eternal, and there is no perturbation in the Buddhas.	In the sky just like a track is not; an ascetic is not outside; conditioned things eternal are not; there is not the Buddhas' perturbation.
DHP256	One is not righteous merely because one decides a case impulsively. But the wise person is one who, having investigated both right and wrong, decides a case.	Not by that is he righteous, whereby he decides a case impulsively; but whoever, having evaluated both the right and the wrong, is a wise man.
DHP257	One who leads others not arbitrarily, but through righteousness and impartiality—that wise man, guarded by the Dhamma, is called 'established in Dhamma'.	Not jumping to conclusions, through righteousness, and with impartiality he leads others; guarded by the Dhamma, the wise man is called one who is 'established in Dhamma'.
DHP258	One is not a wise man just because he speaks much. He who is peaceful, free from hatred, and fearless is called wise.	Not on that account a wise man is, in as much as much he speaks; peaceful, free from hatred, fearless—'a wise man' thus is called.
DHP259	One is not a bearer of the Dhamma just because one speaks a lot. But one who, even after hearing a little, sees the Dhamma for oneself and does not neglect the Dhamma—he is truly a bearer of the Dhamma.	Not on that account is he a Dhamma-bearer, in so far as he speaks much. But whoever, even having heard a little, sees the Dhamma with the body, he indeed is a Dhamma-bearer, who does not neglect the Dhamma.
DHP260	One is not an elder because his head is grey; even if his age is mature, he is called 'old in vain.'	Not by that an elder he is, because of which his grey [is] the head; matured [is] the life of him, 'old in vain' thus he is called.
DHP261	In whom there is truth and virtue, non-violence, restraint, and self-control—that wise one, free from impurity, is indeed called an elder.	In whom truth and virtue, non-harming, restraint, [and] self-control [exist], he indeed, with impurities cast off, wise, is called an 'elder'.
DHP262	Not by mere eloquence, or by beauty of complexion, does a man become a man of good character, if he is jealous, selfish, and deceitful.	Not by mere polished speech or by beauty of appearance is a man of good form, (who is) jealous, stingy, (and) dishonest.
DHP263	But for whom this is cut off, destroyed at the root, and uprooted, that wise man, purged of hatred, is called 'distinguished'.	And for whom this [is] cut off, destroyed at the root, eradicated, he [is] purged of hatred, a wise man, 'distinguished' thus is called.
DHP264	One is not an ascetic by a shaven head if one is without vows and speaks lies. Full of desire and greed, how can one be an ascetic?	Not by a shaven [head] is one an ascetic, [being] without religious practice [and] speaking a lie; [one] possessed of desire and greed, how will [he] be an ascetic?
DHP265	And whoever calms down evil deeds—small and large in every way—is called a 'monk' because of the calming of evil.	And whoever calms down evil actions, small and large in every way, because of the state of having calmed evil actions, 'ascetic' thus he is called.
